N,a,version,num_qubits,num_gates,gate_types
4757,1909,0,29,156716,"{'CNOT': 936, 'PhaseShift': 4380, 'C_C_PhaseShift': 12249, 'Toffoli': 156, 'ControlledPhaseShift': 120469, 'Hadamard': 17888, 'PauliX': 638}"
4757,829,1,29,136454,"{'CNOT': 852, 'PhaseShift': 3792, 'C_C_PhaseShift': 10971, 'Toffoli': 156, 'ControlledPhaseShift': 104593, 'Hadamard': 15536, 'PauliX': 554}"
4757,829,0,29,156764,"{'CNOT': 936, 'PhaseShift': 4380, 'C_C_PhaseShift': 12297, 'Toffoli': 156, 'ControlledPhaseShift': 120469, 'Hadamard': 17888, 'PauliX': 638}"
4757,3115,1,29,137459,"{'CNOT': 856, 'PhaseShift': 3820, 'C_C_PhaseShift': 11071, 'Toffoli': 156, 'ControlledPhaseShift': 105350, 'Hadamard': 15648, 'PauliX': 558}"
4757,3115,0,29,156798,"{'CNOT': 936, 'PhaseShift': 4380, 'C_C_PhaseShift': 12330, 'Toffoli': 156, 'ControlledPhaseShift': 120470, 'Hadamard': 17888, 'PauliX': 638}"
4757,2279,1,29,133912,"{'CNOT': 842, 'PhaseShift': 3722, 'C_C_PhaseShift': 10688, 'Toffoli': 156, 'ControlledPhaseShift': 102704, 'Hadamard': 15256, 'PauliX': 544}"
4757,2279,0,29,156579,"{'CNOT': 936, 'PhaseShift': 4380, 'C_C_PhaseShift': 12111, 'Toffoli': 156, 'ControlledPhaseShift': 120470, 'Hadamard': 17888, 'PauliX': 638}"
4757,3716,1,29,135977,"{'CNOT': 850, 'PhaseShift': 3778, 'C_C_PhaseShift': 10944, 'Toffoli': 156, 'ControlledPhaseShift': 104217, 'Hadamard': 15480, 'PauliX': 552}"
4757,3716,0,29,156667,"{'CNOT': 936, 'PhaseShift': 4380, 'C_C_PhaseShift': 12198, 'Toffoli': 156, 'ControlledPhaseShift': 120471, 'Hadamard': 17888, 'PauliX': 638}"
4757,2990,1,29,142896,"{'CNOT': 878, 'PhaseShift': 3974, 'C_C_PhaseShift': 11535, 'Toffoli': 156, 'ControlledPhaseShift': 109509, 'Hadamard': 16264, 'PauliX': 580}"
4757,2990,0,29,156859,"{'CNOT': 936, 'PhaseShift': 4380, 'C_C_PhaseShift': 12390, 'Toffoli': 156, 'ControlledPhaseShift': 120471, 'Hadamard': 17888, 'PauliX': 638}"
17947,2,1,33,219153,"{'CNOT': 1104, 'PhaseShift': 5486, 'C_C_PhaseShift': 15768, 'Toffoli': 210, 'ControlledPhaseShift': 173457, 'Hadamard': 22428, 'PauliX': 700}"
